"dataName"	"Sequence.ID"	"AA.JUNCTION"	"V1"	"freq_cluster_id"
"re0"	1	"JJJHJJJJJJJJJJJJJJJJ"	"housing"	1
"re0"	2	"JJJIGJJJJJJJJJJIJJJJ"	"money"	1
"re0"	3	"JJJJJJJJIJJJJJJJJJHJ"	"trade"	1
"re0"	4	"JJJJJJIJHJJJJJIJJJJH"	"reserves"	1
"re0"	5	"JJJJJJJJJJJJJJJGJJFJ"	"money"	1
"re0"	6	"JJHJJJJJJJJJJJJJJJGJ"	"money"	1
"re0"	7	"JJIJJJJJJJJJJJJJJJGJ"	"money"	1
"re0"	8	"JJIJJJJJJJJJJJJJJIIJ"	"money"	1
"re0"	9	"HJJJJJJJJJJJJJJJJJHJ"	"money"	1
"re0"	10	"JJJJJJJJJJJJJJJJJJEJ"	"money"	1
"re0"	11	"JJDJJJJJJJJJJJJJJJJJ"	"money"	1
"re0"	12	"JJIJJJJJJJJJJJJJJJHJ"	"money"	1
"re0"	13	"JJGJJJJJJJJJJJJJJJIJ"	"money"	1
"re0"	14	"JJJJJJJJJJJJJJJJJJGJ"	"money"	1
"re0"	15	"JJJJJJJJJJJJJJJJJJAJ"	"money"	1
"re0"	16	"JJJJJJJJJJJJJJJGJJHI"	"money"	1
"re0"	17	"JJJJJJJJJJJJJJJJJJCJ"	"money"	1
"re0"	18	"IJHJIJJJJJJJJJJJJJGJ"	"money"	1
"re0"	19	"JJIJJJJJJJJJJJJJJJFJ"	"money"	1
"re0"	20	"JJBJJJJJJJJJJJJJJJJJ"	"money"	1
"re0"	21	"JJJJJJJJJJJJJJJJJJDJ"	"money"	1
"re0"	22	"JJJJJJJJJJJJJJJJJJBJ"	"money"	1
"re0"	23	"JJJJJJJJJJJJJJJJJJDJ"	"cpi"	1
"re0"	24	"JJJJJJJJJJJJJJJJJJJE"	"money"	1
"re0"	25	"JJJJJJJJJJJJJJIGJJGJ"	"money"	1
"re0"	26	"JJDJJJJJJJJJJJJJJJJJ"	"cpi"	1
"re0"	27	"JJJJJJGJJIJJIJJJJJJG"	"cpi"	1
"re0"	28	"JJJJJJJJJJJJJJJBJJJJ"	"money"	1
"re0"	29	"JJJJJJJJJJJJJJJJJJDJ"	"money"	1
"re0"	30	"JJHJJJJJJJIJJJJJIJJH"	"money"	1
"re0"	31	"JJIJJJJJJJGJJJJIJJHJ"	"interest"	1
"re0"	32	"JIJJJJJJJJGJJJJJJJJJ"	"gnp"	1
"re0"	33	"JJJJJJJJJJJJJJIJJJJC"	"interest"	1
"re0"	34	"JJJJJJJJJJCJJJJIJJJJ"	"money"	1
"re0"	35	"JJJIJJJJJHJJGJJJJJJJ"	"money"	1
"re0"	36	"JJJJJJJJBJJJJJJJJJJJ"	"trade"	1
"re0"	37	"JJIJJJJJJJJJJJDJJJJJ"	"reserves"	1
"re0"	38	"JJJJJJJJJJJJJJHJJJIJ"	"reserves"	1
"re0"	39	"JJJJJJJJJJJJJJIIJHIJ"	"money"	1
"re0"	40	"JJJJJJJJJJJJJJJJEJHJ"	"money"	1
"re0"	41	"BJJJJJJJJJJJJJJJJJJJ"	"trade"	1
"re0"	42	"JJJJJJIJJJJIJJGJJJIJ"	"interest"	1
"re0"	43	"JJJIJJJJJJDJJJJJJJJJ"	"reserves"	1
"re0"	44	"JJJJJJIGIJJJJJJJJJHJ"	"money"	1
"re0"	45	"JJJJJJJJJJJJJJJEJJGJ"	"money"	1
"re0"	46	"FJJJJJJJJJJJJJJJJJJJ"	"trade"	1
"re0"	47	"JIJJJJIJJJJGJJJJJJJJ"	"money"	1
"re0"	48	"CJJJJJJJJJJJJJJJJJJJ"	"trade"	1
"re0"	49	"JGJJJJHJJJJIJIJJJJJJ"	"trade"	1
"re0"	50	"JJJJJJJEJJJJJJIJJJJJ"	"money"	1
"re0"	51	"DJJJJJJJJJGJJJJJJJJJ"	"reserves"	1
"re0"	52	"JJJJJJJJJJJJHJJJJJFJ"	"retail"	1
"re0"	53	"JJJJJJJJJJJJJJJCJJJJ"	"ipi"	1
"re0"	54	"JJJJFJJJJJJJJJJGJJJJ"	"money"	1
"re0"	55	"JJCJJJJJJJJJJJJJJJJJ"	"money"	1
"re0"	56	"JJGJJJJJJJJIJJIJJJJJ"	"money"	1
"re0"	57	"JJCJJJJJJJJJJJJJJJJJ"	"trade"	1
"re0"	58	"JJJJJJIJJJJJJDJJJJJJ"	"money"	1
"re0"	59	"JJJJJJJJJJJJJIJJJJJI"	"money"	1
"re0"	60	"JJJJJJJJJJJJJJJDJJIJ"	"gnp"	1
"re0"	61	"JJJJJJJJJJJJIJJJJJJE"	"jobs"	1
