"dataName"	"Sequence.ID"	"AA.JUNCTION"	"V1"	"freq_cluster_id"
"1"	"1"	"BJJJJJJJJJJJJJJJJJJJ"	"1"	"1"
"1"	"2"	"BJJJJJJJJJJJJJJJJJJJ"	"2"	"2"
"1"	"3"	"BJJJJJJJJJJJJJJJJJJJ"	"5"	"1"
"1"	"4"	"BJJJJJJJJJJJJJJJJJJJ"	"6"	"1"
"1"	"5"	"BJJJJJJJJJJJJJJJJJJJ"	"9"	"7"
"1"	"6"	"BJJJJJJJJJJJJJJJJJJJ"	"12"	"6"
"1"	"7"	"CJJJJJJJJJJJJJJJJJJJ"	"1"	"2"
"1"	"8"	"CJJJJJJJJJJJJJJJJJJJ"	"2"	"2"
"1"	"9"	"CJJJJJJJJJJJJJJJJJJJ"	"3"	"1"
"1"	"10"	"CJJJJJJJJJJJJJJJJJJJ"	"5"	"5"
"1"	"11"	"CJJJJJJJJJJJJJJJJJJJ"	"7"	"3"
"1"	"12"	"CJJJJJJJJJJJJJJJJJJJ"	"9"	"16"
"1"	"13"	"CJJJJJJJJJJJJJJJJJJJ"	"10"	"1"
"1"	"14"	"CJJJJJJJJJJJJJJJJJJJ"	"11"	"1"
"1"	"15"	"CJJJJJJJJJJJJJJJJJJJ"	"12"	"10"
"1"	"16"	"CJJJJJJJJJJJJJJJJJJJ"	"13"	"1"
"1"	"17"	"DJJJJJJJJJGJJJJJJJJJ"	"10"	"1"
"1"	"18"	"DJJJJJJJJJIJJJJJJJJJ"	"9"	"2"
"1"	"19"	"DJJJJJJJJJJJJJJIJJJJ"	"9"	"1"
"1"	"20"	"DJJJJJJJJJJJJJJJJJJJ"	"2"	"1"
"1"	"21"	"DJJJJJJJJJJJJJJJJJJJ"	"7"	"1"
"1"	"22"	"DJJJJJJJJJJJJJJJJJJJ"	"9"	"5"
"1"	"23"	"DJJJJJJJJJJJJJJJJJJJ"	"12"	"3"
"1"	"24"	"EJIJJJJJJJIJJJJJJJJJ"	"2"	"1"
"1"	"25"	"EJJJJJJJJJIJJJJJJJJJ"	"7"	"1"
"1"	"26"	"EJJJJJJJJJJJJJHJJJJJ"	"8"	"1"
"1"	"27"	"EJJJJJJJJJJJJJHJJJJJ"	"9"	"1"
"1"	"28"	"EJJJJJJJJJJJJJIJIJJJ"	"9"	"1"
"1"	"29"	"EJJJJJJJJJJJJJIJJJJJ"	"5"	"1"
"1"	"30"	"EJJJJJJJJJJJJJIJJJJJ"	"9"	"1"
"1"	"31"	"EJJJJJJJJJJJJJIJJJJJ"	"12"	"1"
"1"	"32"	"EJJJJJJJJJJJJJJJIJJJ"	"3"	"1"
"1"	"33"	"EJJJJJJJJJJJJJJJJJJJ"	"5"	"1"
"1"	"34"	"EJJJJJJJJJJJJJJJJJJJ"	"9"	"5"
"1"	"35"	"FJJJJJJJJHJJJJJJJJJJ"	"5"	"1"
"1"	"36"	"FJJJJJJJJJHJJJJJJJJJ"	"5"	"1"
"1"	"37"	"FJJJJJJJJJJJJJIJJJJJ"	"3"	"1"
"1"	"38"	"FJJJJJJJJJJJJJIJJJJJ"	"9"	"1"
"1"	"39"	"FJJJJJJJJJJJJJIJJJJJ"	"12"	"1"
"1"	"40"	"FJJJJJJJJJJJJJJJIJJJ"	"9"	"1"
"1"	"41"	"FJJJJJJJJJJJJJJJJJJJ"	"9"	"1"
"1"	"42"	"FJJJJJJJJJJJJJJJJJJJ"	"12"	"2"
"1"	"43"	"GJIJJJJJJJJJJJJJJJJJ"	"5"	"1"
"1"	"44"	"GJJJJJJJJJGJJJJJJJJJ"	"3"	"1"
"1"	"45"	"GJJJJJJJJJIJJJJJJJIJ"	"9"	"1"
"1"	"46"	"HIJJJJJJJJJJJJJIJJJJ"	"5"	"1"
"1"	"47"	"HJFJJJJJJJIJJJJJJJJJ"	"5"	"1"
"1"	"48"	"HJIJJJJJJJIJJJJIIJJJ"	"12"	"1"
"1"	"49"	"HJIJJJJJJJJJJJJJEJJJ"	"2"	"1"
"1"	"50"	"HJJHJJJJJJIJJJJJJJJJ"	"5"	"1"
"1"	"51"	"HJJIJJJJIJJJJJJJJJJJ"	"9"	"1"
"1"	"52"	"HJJJJIJJJJIJIJJJIJJJ"	"5"	"1"
"1"	"53"	"HJJJJJJJHJIJJJJJJJJJ"	"9"	"1"
"1"	"54"	"HJJJJJJJJJEJJJJJJJJJ"	"13"	"1"
"1"	"55"	"HJJJJJJJJJHJHJJJJJJJ"	"9"	"1"
"1"	"56"	"HJJJJJJJJJHJJJJJJJJJ"	"5"	"1"
"1"	"57"	"HJJJJJJJJJIJIJJJIJJJ"	"9"	"1"
"1"	"58"	"HJJJJJJJJJIJJJJJJJJI"	"9"	"1"
"1"	"59"	"HJJJJJJJJJJJJJHIJJJJ"	"6"	"1"
"1"	"60"	"HJJJJJJJJJJJJJHJJJJJ"	"3"	"1"
"1"	"61"	"HJJJJJJJJJJJJJJJIJJJ"	"9"	"1"
